title,genre,year,rating,director,plot,runtime,cast,budget,revenue
Nope 1,Romance Drama,1993,5.8,"Alejandro González Iñárritu, Steven Spielberg",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,148,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",230835680,100899550
A Clockwork Orange 1,Action Adventure,2003,8.7,"Steven Spielberg, Alfonso Cuarón",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,166,"Actor 0, Actor 1, Actor 2, Actor 3",106243154,509632043
2001: A Space Odyssey 1,Horror Thriller,2003,6.2,Park Chan-wook,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,112,"Actor 0, Actor 1, Actor 2, Actor 3",153518875,1754657157
Blade Runner 1,Comedy Drama,1993,9.7,"Hayao Miyazaki, Damien Chazelle",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,108,"Actor 0, Actor 1, Actor 2, Actor 3",53280879,2857773530
Blade Runner 2049 1,Science Fiction Action,1975,7.3,"Spike Lee, Alejandro González Iñárritu",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,161,"Actor 0, Actor 1, Actor 2",102010856,405134188
Alien 1,Biography,2024,7.4,"Hayao Miyazaki, Christopher Nolan",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,85,"Actor 0, Actor 1, Actor 2",123503666,2484319360
Aliens 1,Biography,1987,5.7,Brad Bird,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,152,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",27664011,820321709
The Thing 1,Comedy Animation,1971,9.7,Barry Jenkins,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,118,"Actor 0, Actor 1, Actor 2",139102526,2483940416
The Fly 1,Mystery Thriller,2013,9.4,"Barry Jenkins, Quentin Tarantino",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,172,"Actor 0, Actor 1, Actor 2",278861112,1535455239
The Elephant Man 1,Science Fiction Action,1976,7.4,James Cameron,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,178,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",222978324,1451777036
Videodrome 1,Action Adventure,2010,6.7,"Alejandro González Iñárritu, Damien Chazelle",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,150,"Actor 0, Actor 1, Actor 2, Actor 3",241846600,847737957
Eraserhead 1,Mystery Thriller,1975,8.9,"Damien Chazelle, David Fincher",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,114,"Actor 0, Actor 1, Actor 2",214010941,2772583581
Mulholland Drive 1,Romance Comedy,2017,7.2,"Christopher Nolan, David Fincher",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,119,"Actor 0, Actor 1, Actor 2, Actor 3",203229233,1208638062
Inland Empire 1,Horror Thriller,1978,5.9,"Bong Joon-ho, Spike Lee",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,145,"Actor 0, Actor 1, Actor 2, Actor 3",65454968,162794026
The Straight Story 1,Comedy Drama,1992,7.9,"Barry Jenkins, Steven Spielberg",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,132,"Actor 0, Actor 1, Actor 2, Actor 3",55472705,2453191167
Blue Velvet 1,Adventure Fantasy,2006,7.8,"Denis Villeneuve, Quentin Tarantino",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,118,"Actor 0, Actor 1, Actor 2, Actor 3",274743900,676785308
Twin Peaks: Fire Walk with Me 1,Comedy Drama,1980,7.4,"Peter Jackson, Alejandro González Iñárritu",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,126,"Actor 0, Actor 1, Actor 2, Actor 3",142387032,2734499242
Wild at Heart 1,Biography,2008,8.2,"Christopher Nolan, Quentin Tarantino",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,80,"Actor 0, Actor 1, Actor 2, Actor 3",188357757,2713705160
Stalker 1,Drama Crime,2000,6.9,"James Cameron, Peter Jackson",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,168,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",273607541,2523382684
Solaris 1,Adventure Fantasy,1990,7.2,"Greta Gerwig, Christopher Nolan",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,105,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",106597686,2977933468
Andrei Rublev 1,Action Adventure,2016,7.5,Bong Joon-ho,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,168,"Actor 0, Actor 1, Actor 2",229656218,2940416998
Mirror 1,Biography,1978,8.3,Brad Bird,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,99,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",237165090,1669163247
Seven Samurai 1,Comedy Drama,1998,9.9,"Hayao Miyazaki, Barry Jenkins",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,144,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",234573475,2384938378
Rashomon 1,Science Fiction Action,2020,9.8,Christopher Nolan,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,164,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",200593909,764418371
Ikiru 1,Science Fiction Action,2006,9.8,"James Cameron, Wong Kar-wai",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,81,"Actor 0, Actor 1, Actor 2",148909107,1003487391
Sanjuro 1,Adventure Fantasy,1998,7.1,"Hayao Miyazaki, Alfonso Cuarón",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,124,"Actor 0, Actor 1, Actor 2",269185754,499036081
Pan's Labyrinth 1,Action Crime,1996,9.6,Christopher Nolan,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,98,"Actor 0, Actor 1, Actor 2, Actor 3",177444855,1523460179
The Devil's Backbone 1,Romance Drama,2020,6.4,"Greta Gerwig, Alejandro González Iñárritu",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,136,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",252905738,1419705770
Crimson Peak 1,Comedy Drama,1989,5.7,Steven Spielberg,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,162,"Actor 0, Actor 1, Actor 2",98236931,1097598131
Nightmare Alley 1,Action Thriller,2005,6.2,"Bong Joon-ho, Damien Chazelle",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,160,"Actor 0, Actor 1, Actor 2",110065717,2800835809
The Shape of Water 1,Historical Drama,1995,5.6,Bong Joon-ho,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,134,"Actor 0, Actor 1, Actor 2, Actor 3",12389097,972542252
Guillermo del Toro's Pinocchio 1,Drama Crime,1987,8.8,Hayao Miyazaki,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,148,"Actor 0, Actor 1, Actor 2",206383639,1450094541
Swamp Thing 1,Drama Crime,1999,6.0,"Alfonso Cuarón, James Cameron",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,129,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",220745458,2571166052
Creature from the Black Lagoon 1,Horror Thriller,1992,7.0,"Park Chan-wook, Denis Villeneuve",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,170,"Actor 0, Actor 1, Actor 2, Actor 3",55500867,2936690817
Frankenstein 1,Romance Comedy,1990,6.0,"Christopher Nolan, Denis Villeneuve",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,168,"Actor 0, Actor 1, Actor 2",284247012,1718437028
The Mummy 1,Historical Drama,2008,6.1,"Wong Kar-wai, Denis Villeneuve",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,161,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",103004725,2433331379
Dracula 1,Action Thriller,2001,6.8,James Cameron,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,159,"Actor 0, Actor 1, Actor 2",202757686,91160563
The Invisible Man 1,Biography,1978,6.4,"Spike Lee, Alfonso Cuarón",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,143,"Actor 0, Actor 1, Actor 2, Actor 3",273993323,1835119108
The Wolf Man 1,Romance Drama,2001,6.2,Damien Chazelle,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,84,"Actor 0, Actor 1, Actor 2, Actor 3",130711891,2359011435
The Phantom of the Opera 1,Action Crime,1980,8.9,"Spike Lee, Alfonso Cuarón",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,153,"Actor 0, Actor 1, Actor 2",153821761,2382623275
Nosferatu 1,Family Adventure,2004,9.1,Bong Joon-ho,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,107,"Actor 0, Actor 1, Actor 2, Actor 3",64984407,2857498587
The Cabinet of Dr. Caligari 1,Adventure Fantasy,1989,9.3,Bong Joon-ho,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,124,"Actor 0, Actor 1, Actor 2",245723857,554169141
Metropolis 1,Adventure Fantasy,1983,9.1,"Park Chan-wook, Wong Kar-wai",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,158,"Actor 0, Actor 1, Actor 2",120928083,938812214
The Golem 1,Science Fiction Action,2006,7.0,"Park Chan-wook, Spike Lee",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,121,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",167107057,1292676804
The Student of Prague 1,Science Fiction Drama,2024,7.8,Quentin Tarantino,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,87,"Actor 0, Actor 1, Actor 2, Actor 3",78122564,619902893
The Waxworks 1,Adventure Fantasy,1979,8.6,Barry Jenkins,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,98,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",154266420,2746435541
M 1,Historical Drama,1994,7.5,Barry Jenkins,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,175,"Actor 0, Actor 1, Actor 2, Actor 3",208143577,2002902914
The Hands of Orlac 1,Biography,1990,8.1,Bong Joon-ho,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,165,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",202319363,322003213
The Last Laugh 1,Mystery Thriller,1983,9.8,Alejandro González Iñárritu,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,121,"Actor 0, Actor 1, Actor 2, Actor 3",191330918,2400680837
Sunrise 1,Romance Comedy,2006,9.3,"Martin Scorsese, Park Chan-wook",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,160,"Actor 0, Actor 1, Actor 2, Actor 3",18740985,583594595
The Passion of Joan of Arc 1,Action Thriller,1998,7.5,"Cary Joji Fukunaga, Quentin Tarantino",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,118,"Actor 0, Actor 1, Actor 2",157113079,450892179
L'Atalante 1,Family Adventure,1986,5.9,Martin Scorsese,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,160,"Actor 0, Actor 1, Actor 2, Actor 3",135705016,1893532841
Un Chien Andalou 1,Comedy Drama,2015,5.9,Alejandro González Iñárritu,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,96,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",131435294,2280996082
L'Age d'Or 1,Romance Drama,1970,5.5,"Christopher Nolan, Wong Kar-wai",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,96,"Actor 0, Actor 1, Actor 2, Actor 3",48025659,1033319304
L'avventura 1,Mystery Thriller,1975,8.7,Christopher Nolan,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,127,"Actor 0, Actor 1, Actor 2, Actor 3",83620728,1693774394
La Dolce Vita 1,Romance Comedy,2011,9.9,David Fincher,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,152,"Actor 0, Actor 1, Actor 2",98109402,1940212621
8½ 1,Family Adventure,2016,6.4,Wong Kar-wai,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,167,"Actor 0, Actor 1, Actor 2, Actor 3",126632351,422322246
Amarcord 1,Horror Thriller,1978,8.8,"Greta Gerwig, Wong Kar-wai",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,97,"Actor 0, Actor 1, Actor 2",158695877,2818624284
The Night of the Hunter 1,Comedy Drama,1985,7.9,"Steven Spielberg, Peter Jackson",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,146,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",283547847,860230640
Kiss Me Deadly 1,Mystery Thriller,1988,8.3,Alejandro González Iñárritu,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,94,"Actor 0, Actor 1, Actor 2",278211333,2790542751
Out of the Past 1,Comedy Drama,2003,9.4,Greta Gerwig,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,96,"Actor 0, Actor 1, Actor 2, Actor 3",235949389,1619434583
The Big Sleep 1,Action Thriller,2018,7.6,Steven Spielberg,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,88,"Actor 0, Actor 1, Actor 2",150759649,976608888
Double Indemnity 1,Science Fiction Action,1973,9.7,"Alfonso Cuarón, Peter Jackson",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,171,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",233033352,1869241774
The Killers 1,Mystery Thriller,1975,8.3,Brad Bird,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,119,"Actor 0, Actor 1, Actor 2",284504617,922726570
Gun Crazy 1,Romance Comedy,2004,6.9,Peter Jackson,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,135,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",138117474,298704157
In a Lonely Place 1,Adventure Fantasy,1975,9.6,Bong Joon-ho,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,157,"Actor 0, Actor 1, Actor 2",176048838,2910790008
The Godfather 2,Action Thriller,1977,5.6,Steven Spielberg,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,143,"Actor 0, Actor 1, Actor 2, Actor 3",290786364,2271455181
The Godfather Part II 2,Science Fiction Drama,1980,7.1,"Christopher Nolan, Steven Spielberg",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,134,"Actor 0, Actor 1, Actor 2, Actor 3",291242091,324328104
The Dark Knight Rises 2,Science Fiction Drama,2015,9.8,Alejandro González Iñárritu,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,145,"Actor 0, Actor 1, Actor 2, Actor 3",39763645,2195808627
Gladiator 2,Action Thriller,1993,6.2,Hayao Miyazaki,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,172,"Actor 0, Actor 1, Actor 2",132623689,2235386258
The Silence of the Lambs 2,Action Adventure,1972,9.3,Damien Chazelle,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,140,"Actor 0, Actor 1, Actor 2, Actor 3",215610539,694608746
Parasite 2,Action Thriller,2024,5.7,"Damien Chazelle, James Cameron",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,133,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",181763868,1215044057
Everything Everywhere All at Once 2,Comedy Drama,2006,7.1,Denis Villeneuve,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,146,"Actor 0, Actor 1, Actor 2",225244890,346036788
Oppenheimer 2,Romance Drama,1988,8.9,"James Cameron, David Fincher",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,138,"Actor 0, Actor 1, Actor 2",208062073,911876057
Dune 2,Action Crime,2006,9.0,Bong Joon-ho,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,155,"Actor 0, Actor 1, Actor 2, Actor 3",114916615,2397454072
Dune: Part Two 2,Adventure Fantasy,1979,5.5,"Steven Spielberg, Damien Chazelle",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,124,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",15151176,1488888667
The Wolf of Wall Street 2,Action Adventure,2018,8.4,"Christopher Nolan, Cary Joji Fukunaga",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,110,"Actor 0, Actor 1, Actor 2, Actor 3",274155991,307247382
American Beauty 2,Romance Comedy,2015,6.7,Damien Chazelle,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,132,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",209980106,2019062219
Se7en 2,Comedy Drama,2007,5.9,Barry Jenkins,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,155,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",43437859,1918237222
Fight Club 2,Romance Comedy,1985,6.8,"Barry Jenkins, James Cameron",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,137,"Actor 0, Actor 1, Actor 2, Actor 3",135419072,370780067
The Social Network 2,Drama Crime,1978,8.9,Quentin Tarantino,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,101,"Actor 0, Actor 1, Actor 2, Actor 3",260211434,1398762713
The Revenant 2,Historical Drama,1977,7.9,Bong Joon-ho,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,139,"Actor 0, Actor 1, Actor 2, Actor 3",74378103,438354759
Braveheart 2,Action Thriller,2021,8.5,Cary Joji Fukunaga,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,98,"Actor 0, Actor 1, Actor 2",143261446,1577903519
Saving Private Ryan 2,Mystery Thriller,2002,5.7,"Brad Bird, Denis Villeneuve",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,131,"Actor 0, Actor 1, Actor 2, Actor 3",144138611,456841968
The Green Mile 2,Romance Drama,1976,9.0,Christopher Nolan,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,87,"Actor 0, Actor 1, Actor 2",80177210,900974890
Schindler's List 2,Mystery Thriller,1993,8.5,Hayao Miyazaki,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,113,"Actor 0, Actor 1, Actor 2",21703881,326905285
The Sixth Sense 2,Drama Crime,2011,7.5,David Fincher,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,95,"Actor 0, Actor 1, Actor 2",257494765,267487269
Unbreakable 2,Action Thriller,2006,7.4,"Alejandro González Iñárritu, Steven Spielberg",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,167,"Actor 0, Actor 1, Actor 2, Actor 3",102775164,1570174713
Split 2,Drama Crime,1981,6.7,"Quentin Tarantino, Martin Scorsese",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,159,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",141954697,2830039555
Glass 2,Action Crime,2001,7.3,"Martin Scorsese, David Fincher",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,129,"Actor 0, Actor 1, Actor 2",235074983,906664739
The Usual Suspects 2,Adventure Fantasy,2010,9.9,Barry Jenkins,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,125,"Actor 0, Actor 1, Actor 2, Actor 3",270210319,1527615282
Heat 2,Comedy Animation,1994,6.7,James Cameron,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,108,"Actor 0, Actor 1, Actor 2",160824577,301647421
L.A. Confidential 2,Biography,2003,7.1,Denis Villeneuve,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,111,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",139467922,1194724751
The Departed 2,Science Fiction Action,2018,9.9,Hayao Miyazaki,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,125,"Actor 0, Actor 1, Actor 2",104543166,1065979384
Mystic River 2,Comedy Animation,2021,8.7,"Hayao Miyazaki, Steven Spielberg",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,169,"Actor 0, Actor 1, Actor 2, Actor 3",86290586,2468534256
Prisoners 2,Drama Crime,2023,9.8,"Spike Lee, Peter Jackson",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,142,"Actor 0, Actor 1, Actor 2",58456560,291239647
Sicario 2,Adventure Fantasy,2008,6.5,"Steven Spielberg, James Cameron",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,105,"Actor 0, Actor 1, Actor 2",192943618,812184337
Wind River 2,Comedy Animation,1973,5.6,Christopher Nolan,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,126,"Actor 0, Actor 1, Actor 2",210570022,2893867732
True Grit 2,Mystery Thriller,2007,5.9,"James Cameron, Quentin Tarantino",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,173,"Actor 0, Actor 1, Actor 2, Actor 3",271563518,2838208029
No Country for Old Men 2,Comedy Animation,1981,8.6,"Damien Chazelle, Hayao Miyazaki",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,128,"Actor 0, Actor 1, Actor 2, Actor 3",168117753,596957087
There Will Be Blood 2,Action Thriller,2016,5.5,"Hayao Miyazaki, Martin Scorsese",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,157,"Actor 0, Actor 1, Actor 2, Actor 3",128592234,2797261955
Phantom Thread 2,Horror Thriller,2001,6.1,Damien Chazelle,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,120,"Actor 0, Actor 1, Actor 2",57634412,2927733629
The Master 2,Comedy Animation,1998,5.6,Damien Chazelle,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,88,"Actor 0, Actor 1, Actor 2, Actor 3",147792183,514005062
Whiplash 2,Action Adventure,1973,7.2,"Denis Villeneuve, Wong Kar-wai",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,128,"Actor 0, Actor 1, Actor 2, Actor 3",211513192,485632331
La La Land 2,Biography,2020,9.3,Denis Villeneuve,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,89,"Actor 0, Actor 1, Actor 2",168327856,136234365
Moonlight 2,Comedy Animation,1986,9.7,James Cameron,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,128,"Actor 0, Actor 1, Actor 2",50266617,2399545786
Black Panther 2,Comedy Drama,1991,8.1,"Steven Spielberg, Wong Kar-wai",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,101,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",243109559,724755608
Captain America: The Winter Soldier 2,Science Fiction Action,1976,7.0,Wong Kar-wai,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,150,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",299977632,1189303499
Iron Man 2,Action Crime,1989,6.5,Barry Jenkins,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,150,"Actor 0, Actor 1, Actor 2, Actor 3",92457968,284096568
Doctor Strange 2,Family Adventure,1970,7.4,"Park Chan-wook, Alejandro González Iñárritu",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,92,"Actor 0, Actor 1, Actor 2",121107036,783718685
Thor: Ragnarok 2,Action Crime,1975,7.6,Peter Jackson,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,140,"Actor 0, Actor 1, Actor 2, Actor 3",152273154,441429896
Avengers: Infinity War 2,Mystery Thriller,1981,7.1,"Greta Gerwig, Denis Villeneuve",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,85,"Actor 0, Actor 1, Actor 2, Actor 3",246083840,2047408731
Avengers: Endgame 2,Science Fiction Drama,1984,9.2,Quentin Tarantino,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,165,"Actor 0, Actor 1, Actor 2",56013763,2919644485
Spider-Man: Into the Spider-Verse 2,Family Adventure,2021,7.9,Spike Lee,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,129,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",234751383,2350016872
The Lego Movie 2,Biography,2006,9.4,"Peter Jackson, David Fincher",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,171,"Actor 0, Actor 1, Actor 2",279563672,2503370912
Coco 2,Romance Comedy,1977,9.7,"Denis Villeneuve, Park Chan-wook",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,104,"Actor 0, Actor 1, Actor 2",32911448,1868381356
Inside Out 2,Comedy Drama,2013,7.4,Park Chan-wook,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,120,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",45976768,423780031
Frozen 2,Mystery Thriller,2005,7.2,"Brad Bird, Alfonso Cuarón",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,81,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",290548343,1852141793
Spirited Away 2,Horror Thriller,1996,6.2,Christopher Nolan,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,179,"Actor 0, Actor 1, Actor 2",163594930,2350528259
Your Name 2,Family Adventure,1996,6.7,"Hayao Miyazaki, Alejandro González Iñárritu",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,102,"Actor 0, Actor 1, Actor 2, Actor 3",226344999,667842513
A Silent Voice 2,Mystery Thriller,1972,7.2,"Damien Chazelle, Martin Scorsese",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,140,"Actor 0, Actor 1, Actor 2, Actor 3",209952576,136899610
Makoto Shinkai Films 2,Comedy Animation,2022,9.0,"Brad Bird, Alejandro González Iñárritu",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,167,"Actor 0, Actor 1, Actor 2",132383704,627181411
The Hunger Games 2,Action Crime,2017,7.4,"Brad Bird, Wong Kar-wai",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,162,"Actor 0, Actor 1, Actor 2",110897206,1947158366
The Maze Runner 2,Drama Crime,2022,7.3,"Alfonso Cuarón, Greta Gerwig",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,145,"Actor 0, Actor 1, Actor 2",45227840,1386263518
Ready Player One 2,Mystery Thriller,1978,8.9,Denis Villeneuve,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,105,"Actor 0, Actor 1, Actor 2",143944066,192039044
Aquaman 2,Romance Drama,1973,9.5,Brad Bird,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,139,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",223106763,2779064332
Wonder Woman 2,Horror Thriller,2013,5.6,"Alejandro González Iñárritu, Bong Joon-ho",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,140,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",197775917,1528538226
Joker 2,Action Thriller,2023,9.4,Peter Jackson,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,129,"Actor 0, Actor 1, Actor 2",97460246,2507829635
The Dark Knight 2,Drama Crime,2024,6.5,Cary Joji Fukunaga,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,163,"Actor 0, Actor 1, Actor 2, Actor 3",285565766,136124217
Superman 2,Action Adventure,2000,9.5,Park Chan-wook,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,108,"Actor 0, Actor 1, Actor 2, Actor 3",173992425,2810548616
X-Men: Days of Future Past 2,Science Fiction Drama,1997,9.4,"Bong Joon-ho, Brad Bird",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,139,"Actor 0, Actor 1, Actor 2, Actor 3",289515343,2728367783
Deadpool 2,Mystery Thriller,2007,6.0,"Spike Lee, Peter Jackson",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,167,"Actor 0, Actor 1, Actor 2",268631347,324178050
Logan 2,Comedy Animation,1987,8.3,"Brad Bird, Peter Jackson",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,99,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",139011193,293845356
Eternals 2,Mystery Thriller,2012,6.9,Steven Spielberg,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,143,"Actor 0, Actor 1, Actor 2, Actor 3",149278417,1847725951
